,toeflScore,greV,greQ,greA,cgpa,cgpaScale,univName
0,112,160,167,4.5,0.85,10,Worcester Polytechnic Institute
2,94,146,157,3,0.7828,100,Worcester Polytechnic Institute
4,81,148,170,2.5,0.57,100,Worcester Polytechnic Institute
6,104,150,161,4.5,0.622,100,Worcester Polytechnic Institute
7,95,147,156,3,0.52,100,Worcester Polytechnic Institute
8,101,152,169,3,0.64,100,Worcester Polytechnic Institute
9,107,156,170,4.5,0.714,100,Worcester Polytechnic Institute
10,94,148,165,3.5,0.573,100,Worcester Polytechnic Institute
11,99,152,170,3.5,0.65,100,Worcester Polytechnic Institute
12,99,152,170,3.5,0.65,100,Worcester Polytechnic Institute
13,99,152,170,3.5,0.65,100,Worcester Polytechnic Institute
14,91,146,161,3,0.5484,100,Worcester Polytechnic Institute
15,101,149,159,3,0.765,100,Worcester Polytechnic Institute
16,96,161,165,3,0.705,100,Worcester Polytechnic Institute
17,98,143,159,3,0.55,100,Worcester Polytechnic Institute
18,111,156,159,3.5,0.7238,100,Worcester Polytechnic Institute
19,112,154,161,3.5,0.78,10,Worcester Polytechnic Institute
20,94,159,130,3,0.6324,100,Worcester Polytechnic Institute
21,99,143,162,3.5,0.874,10,Worcester Polytechnic Institute
22,105,148,160,3.5,0,0,Worcester Polytechnic Institute
23,105,130,130,3.5,0.64,100,Worcester Polytechnic Institute
24,94,130,130,4.5,0.775,4,Worcester Polytechnic Institute
26,108,162,161,3.5,0.846,10,Worcester Polytechnic Institute
27,109,152,163,3.5,0.652,100,Worcester Polytechnic Institute
29,114,165,164,3,0.5933,100,Worcester Polytechnic Institute
31,107,162,170,3,0.7,100,Worcester Polytechnic Institute
33,101,149,160,3,0.72,100,Worcester Polytechnic Institute
34,115,160,130,4,0.79,100,Worcester Polytechnic Institute
35,95,152,163,3,0.62,100,Worcester Polytechnic Institute
36,93,145,160,3,0.759,10,Worcester Polytechnic Institute
37,103,152,130,3,0.8,10,Worcester Polytechnic Institute
38,111,156,167,4,0.6825,100,Worcester Polytechnic Institute
40,101,150,170,3.5,0,0,Worcester Polytechnic Institute
42,103,130,167,3,0.58,100,Worcester Polytechnic Institute
43,91,141,130,3,0,0,Worcester Polytechnic Institute
44,110,130,170,4,0.8328,100,Worcester Polytechnic Institute
45,86,154,130,3.5,0,0,Worcester Polytechnic Institute
46,117,157,170,3.5,0,0,Worcester Polytechnic Institute
48,101,149,158,3,0.67,100,Worcester Polytechnic Institute
49,96,140,156,2,0.91,4,Worcester Polytechnic Institute
50,113,130,130,3.5,0.7813,100,Worcester Polytechnic Institute
52,101,130,130,4.5,0,0,Worcester Polytechnic Institute
53,108,158,167,4.5,0.869,10,Worcester Polytechnic Institute
54,98,145,159,3,0.64,100,Worcester Polytechnic Institute
55,102,153,152,3,0.804,10,Worcester Polytechnic Institute
56,101,148,163,4,0.53,100,Worcester Polytechnic Institute
57,101,130,169,4.5,0.7227,100,Worcester Polytechnic Institute
58,99,150,151,4,0.63,100,Worcester Polytechnic Institute
59,96,142,155,3.5,0,0,Worcester Polytechnic Institute
60,103,156,159,4,0.675,100,Worcester Polytechnic Institute
61,94,154,130,3,0.54,100,Worcester Polytechnic Institute
62,106,130,168,3.5,0.625,100,Worcester Polytechnic Institute
63,109,156,157,3,0.56,100,Worcester Polytechnic Institute
64,89,143,160,3,0.705,10,Worcester Polytechnic Institute
66,108,150,157,3,0.78,10,Worcester Polytechnic Institute
67,112,152,162,4.5,0.785,100,Worcester Polytechnic Institute
68,106,149,157,4,0.685,100,Worcester Polytechnic Institute
69,106,163,130,3,0.58,100,Worcester Polytechnic Institute
70,110,150,161,4,0.83,100,Worcester Polytechnic Institute
72,114,147,157,3.5,0.78,100,Worcester Polytechnic Institute
73,94,148,170,3.5,0.61,100,Worcester Polytechnic Institute
74,90,157,170,3,0.646,10,Worcester Polytechnic Institute
76,89,145,162,3,0.61,100,Worcester Polytechnic Institute
77,112,152,160,3.5,0.65,100,Worcester Polytechnic Institute
79,106,155,153,3.5,0.692,10,Worcester Polytechnic Institute
80,109,144,130,3,0.7,100,Worcester Polytechnic Institute
81,84,142,159,3,0.65,10,Worcester Polytechnic Institute
82,110,154,167,3,0.66,100,Worcester Polytechnic Institute
83,106,130,170,3.5,0.825,10,Worcester Polytechnic Institute
84,95,146,168,2.5,0.62,100,Worcester Polytechnic Institute
85,105,151,151,3.5,0.83,10,Worcester Polytechnic Institute
87,103,153,158,3,0.776,10,Worcester Polytechnic Institute
88,109,161,168,4,0.829,10,Worcester Polytechnic Institute
89,92,130,168,3,0.75,100,Worcester Polytechnic Institute
90,97,146,169,3,0.68,100,Worcester Polytechnic Institute
91,107,153,163,3,0.863,10,Worcester Polytechnic Institute
93,108,157,170,4,0.597,100,Worcester Polytechnic Institute
94,102,148,157,3,0.58,100,Worcester Polytechnic Institute
95,112,130,163,4,0.57,100,Worcester Polytechnic Institute
96,109,154,164,3,0.73,100,Worcester Polytechnic Institute
99,112,130,130,4,0,0,Worcester Polytechnic Institute
100,92,149,155,3,0,0,Worcester Polytechnic Institute
101,109,155,166,4,0.71,100,Worcester Polytechnic Institute
102,106,130,130,4,0.83,100,Worcester Polytechnic Institute
154,99,153,159,3,0.72,100,Wayne State University
155,76,134,164,3,0.82,100,Wayne State University
158,112,151,164,3.5,0.569,100,Wayne State University
159,91,144,158,3,0,0,Wayne State University
160,99,150,151,3,0.762,10,Wayne State University
161,88,145,130,3,0.825,100,Wayne State University
163,88,154,164,3,0.59,100,Wayne State University
164,110,153,157,3.5,0.62,100,Wayne State University
166,95,145,164,3,0.756,10,Wayne State University
167,91,149,165,3.5,0.593,100,Wayne State University
168,79,142,153,3.5,0.68,100,Wayne State University
169,107,154,161,5,0.829,10,Wayne State University
170,80,145,152,2.5,0.593,100,Wayne State University
171,89,143,158,2.5,0.77,100,Wayne State University
172,112,151,167,3.5,0.74,10,Wayne State University
173,95,138,152,3,0.68,10,Wayne State University
174,98,145,161,3,0.778,10,Wayne State University
175,99,145,153,3,0.76,100,Wayne State University
177,110,155,164,4,0.645,10,Wayne State University
178,91,140,158,3,0.88,10,Wayne State University
179,103,130,165,3.5,0.74,100,Wayne State University
183,102,148,169,3.5,0.686,10,Wayne State University
185,78,138,166,2,0,0,Wayne State University
187,98,147,162,3,0.61,100,Wayne State University
189,99,146,157,3,0.803,10,Wayne State University
191,93,149,159,3.5,0.79,10,Wayne State University
192,84,138,162,3,0.78,10,Wayne State University
193,105,149,162,3.5,0.64,100,Wayne State University
194,8,157,164,4,0.71,10,Wayne State University
195,95,143,157,3.5,0.66,100,Wayne State University
196,100,146,155,3.5,0.65,100,Wayne State University
197,83,152,167,3,0,0,Wayne State University
198,94,149,153,2.5,0.629,10,Wayne State University
199,86,143,148,2.5,0.85,4,Wayne State University
205,101,130,170,4,0.624,100,Wayne State University
207,95,149,130,3.5,0.6,100,Wayne State University
208,81,170,139,3,0,0,Wayne State University
209,101,146,130,3.5,6.7,10,Wayne State University
211,96,145,163,3,0.6722,100,Wayne State University
212,110,130,165,4,0.804,100,Wayne State University
215,105,147,165,3.5,0.689,10,Wayne State University
216,7,150,166,3,0.67,10,Wayne State University
217,79,140,155,2.5,0.66,100,Wayne State University
219,89,143,158,3,0.7,100,Wayne State University
220,81,139,158,3,0.7,100,Wayne State University
221,90,142,160,3,0.68,100,Wayne State University
222,100,145,159,3,0.78,10,Wayne State University
224,96,146,168,3,0.75,10,Wayne State University
225,92,150,151,3,0.693,10,Wayne State University
226,85,147,152,3,0,0,Wayne State University
227,119,166,159,4.5,0.73,100,Wayne State University
229,106,149,163,4.5,0.58,100,Wayne State University
230,100,153,170,3,0.5542,100,Wayne State University
232,104,150,161,3,0.64,100,Wayne State University
233,86,150,142,3,0.832,10,Wayne State University
234,86,138,168,2.5,0,0,Wayne State University
235,89,142,148,3,0,0,Wayne State University
236,93,139,156,3,0.67,100,Wayne State University
238,102,144,168,3,0.873,10,Wayne State University
240,84,146,156,3,0.077,100,Wayne State University
241,97,140,147,3,0.6486,100,Wayne State University
242,88,140,159,3,0.72,100,Wayne State University
244,103,149,158,3.5,0.775,100,Wayne State University
245,98,147,160,3,0.65,100,Wayne State University
246,95,148,152,3,0.748,10,Wayne State University
247,90,147,153,3,0,0,Wayne State University
249,93,151,151,3.5,0.764,10,Wayne State University
250,81,146,162,3,0.69,100,Wayne State University
251,83,150,155,3,0.56,100,Wayne State University
252,100,149,161,3,0.58,100,Wayne State University
254,107,149,160,3,0.794,10,Wayne State University
255,90,142,154,3.5,0.6779,100,Wayne State University
256,97,152,165,3.5,0.58,100,Wayne State University
257,97,144,152,3,0.758,10,Wayne State University
258,93,149,151,3,0.64,10,Wayne State University
259,99,130,130,3,0.782,10,Wayne State University
261,80,141,156,2.5,0.76,10,Wayne State University
262,96,145,162,3.5,0.62,100,Wayne State University
263,97,145,158,3,0.77,10,Wayne State University
265,83,143,159,3,0.602,100,Wayne State University
266,100,143,159,3.5,0.72,10,Wayne State University
268,103,145,159,3,0.68,100,Wayne State University
270,106,157,154,3,0.57,100,Wayne State University
271,117,154,169,4,0.82,10,Wayne State University
273,112,161,160,3,0.5907,100,Wayne State University
276,83,142,161,3,0.745,10,Wayne State University
277,102,146,161,3.5,0.604,100,Wayne State University
278,100,142,168,2.5,0.6779,100,Wayne State University
281,105,146,160,3.5,0.7,100,Wayne State University
283,84,146,166,2.5,0.824,10,Wayne State University
285,100,143,163,3,0.65,100,Wayne State University
287,110,130,165,3,0.77,100,Wayne State University
290,96,139,156,2.5,0.816,10,Wayne State University
291,88,145,151,2.5,0.62,100,Wayne State University
292,84,146,147,3,0.668,10,Wayne State University
294,82,145,159,3,0.53,100,Wayne State University
295,94,147,169,3.5,0.56,100,Wayne State University
296,97,144,160,3.5,0.665,10,Wayne State University
297,87,146,161,3,0.836,10,Wayne State University
298,83,144,165,3,0.65,10,Wayne State University
299,98,130,170,3.5,0.5835,100,Wayne State University
300,91,142,162,3,0.687,100,Wayne State University
302,83,144,156,2.5,0.65,100,Wayne State University
303,85,146,150,3,0.65,100,Wayne State University
305,92,156,130,3,0.66,100,Wayne State University
306,84,147,150,2.5,0.791,100,Wayne State University
309,7,149,158,3.5,0.6,100,Wayne State University
310,97,149,161,3,0.68,10,Wayne State University
311,87,150,159,2.5,0.65,100,Wayne State University
312,102,149,155,3,0.53,100,Wayne State University
337,113,159,170,4,0.77,10,Virginia Polytechnic Institute and State University
338,102,150,167,3,0.803,10,Virginia Polytechnic Institute and State University
339,113,154,170,4,0.61,100,Virginia Polytechnic Institute and State University
340,111,158,170,4.5,0.912,10,Virginia Polytechnic Institute and State University
341,111,165,130,4,0.6,100,Virginia Polytechnic Institute and State University
342,110,130,170,3.5,0,0,Virginia Polytechnic Institute and State University
344,111,152,161,4,0.91,10,Virginia Polytechnic Institute and State University
345,105,154,165,3.5,0.701,10,Virginia Polytechnic Institute and State University
346,116,152,167,4,0.947,10,Virginia Polytechnic Institute and State University
347,116,158,170,4,0.852,10,Virginia Polytechnic Institute and State University
350,117,158,170,4.5,0.927,10,Virginia Polytechnic Institute and State University
352,105,167,168,4,0.713,10,Virginia Polytechnic Institute and State University
353,109,154,162,3.5,0.87,10,Virginia Polytechnic Institute and State University
354,114,130,170,4,0.914,10,Virginia Polytechnic Institute and State University
358,101,163,130,3.5,0.875,4,Virginia Polytechnic Institute and State University
359,109,158,165,3.5,0.887,10,Virginia Polytechnic Institute and State University
360,112,130,170,4,0.745,10,Virginia Polytechnic Institute and State University
361,112,154,170,4.5,0.75,100,Virginia Polytechnic Institute and State University
362,103,130,170,4,0.882,10,Virginia Polytechnic Institute and State University
363,112,152,165,4.5,0.748,10,Virginia Polytechnic Institute and State University
364,114,163,166,4.5,0.895,10,Virginia Polytechnic Institute and State University
366,114,168,170,4,0.8,4,Virginia Polytechnic Institute and State University
367,108,161,167,4,0.809,10,Virginia Polytechnic Institute and State University
368,115,161,170,4.5,0.804,10,Virginia Polytechnic Institute and State University
369,117,168,170,4.5,0.7822,100,Virginia Polytechnic Institute and State University
370,111,162,168,3,0.772,10,Virginia Polytechnic Institute and State University
371,110,160,170,4,0.8514,10,Virginia Polytechnic Institute and State University
372,108,156,163,3,0.7,10,Virginia Polytechnic Institute and State University
373,102,150,165,3,0.808,10,Virginia Polytechnic Institute and State University
374,111,148,167,4,0.894,10,Virginia Polytechnic Institute and State University
375,117,157,170,5.5,0.79,100,Virginia Polytechnic Institute and State University
376,107,165,167,4,0.754,10,Virginia Polytechnic Institute and State University
377,112,158,168,5,0.9,10,Virginia Polytechnic Institute and State University
379,107,152,170,3.5,0.85,10,Virginia Polytechnic Institute and State University
380,114,162,170,5,0.788,10,Virginia Polytechnic Institute and State University
381,112,158,170,3,0.776,10,Virginia Polytechnic Institute and State University
382,110,151,164,4,0.934,10,Virginia Polytechnic Institute and State University
384,102,154,130,3.5,0.69,10,Virginia Polytechnic Institute and State University
385,112,130,170,3.5,0,0,Virginia Polytechnic Institute and State University
386,101,152,170,3.5,0.852,10,Virginia Polytechnic Institute and State University
387,113,146,170,3,0.37,10,Virginia Polytechnic Institute and State University
388,112,130,170,3.5,0.795,10,Virginia Polytechnic Institute and State University
390,110,153,160,4,0.896,10,Virginia Polytechnic Institute and State University
391,115,155,164,4.5,0.83,10,Virginia Polytechnic Institute and State University
392,106,153,170,4.5,0.801,10,Virginia Polytechnic Institute and State University
393,103,156,166,3.5,0.78,10,Virginia Polytechnic Institute and State University
394,100,150,160,4,0.794,10,Virginia Polytechnic Institute and State University
396,105,146,170,4,0.92,10,Virginia Polytechnic Institute and State University
398,104,158,164,3.5,0.918,10,Virginia Polytechnic Institute and State University
399,97,154,130,3,0.9925,4,Virginia Polytechnic Institute and State University
400,103,153,166,4,1,10,Virginia Polytechnic Institute and State University
401,109,155,170,3.5,0.8,10,Virginia Polytechnic Institute and State University
402,116,167,170,4,0.585,100,Virginia Polytechnic Institute and State University
404,114,161,170,4.5,0.8,100,Virginia Polytechnic Institute and State University
405,110,159,170,4,0.89,10,Virginia Polytechnic Institute and State University
406,101,152,170,3.5,0.846,10,Virginia Polytechnic Institute and State University
407,117,161,170,3.5,0.896,10,Virginia Polytechnic Institute and State University
411,114,166,166,4,0.816,100,Virginia Polytechnic Institute and State University
412,114,155,167,4,0.782,10,Virginia Polytechnic Institute and State University
413,113,157,164,5,0.823,10,Virginia Polytechnic Institute and State University
414,101,153,162,4,0.959,10,Virginia Polytechnic Institute and State University
415,118,155,168,4,0.703,10,Virginia Polytechnic Institute and State University
418,109,130,170,4.5,0.79,100,Virginia Polytechnic Institute and State University
419,108,159,162,3.5,0.94,10,Virginia Polytechnic Institute and State University
420,113,154,163,4,0.9,10,Virginia Polytechnic Institute and State University
421,114,157,164,4,0.795,100,Virginia Polytechnic Institute and State University
422,114,156,168,5,0.7896,100,Virginia Polytechnic Institute and State University
423,107,156,170,3.5,0.0874,100,Virginia Polytechnic Institute and State University
424,112,170,170,4,0.847,10,Virginia Polytechnic Institute and State University
425,111,157,164,3.5,0.896,10,Virginia Polytechnic Institute and State University
428,116,161,130,3,0.86,10,Virginia Polytechnic Institute and State University
429,114,156,167,4,0.77,10,Virginia Polytechnic Institute and State University
430,110,156,170,3.5,0.83,100,Virginia Polytechnic Institute and State University
431,115,164,170,4,0.84,10,Virginia Polytechnic Institute and State University
432,107,158,170,3,0.932,10,Virginia Polytechnic Institute and State University
433,108,162,170,4,0.79,100,Virginia Polytechnic Institute and State University
434,109,130,130,3,0.84,10,Virginia Polytechnic Institute and State University
435,116,167,170,4,0.947,10,Virginia Polytechnic Institute and State University
436,117,164,170,3.5,0.925,10,Virginia Polytechnic Institute and State University
437,111,157,163,3,0.752,10,Virginia Polytechnic Institute and State University
439,100,148,161,3,0.85,10,Virginia Polytechnic Institute and State University
440,114,166,170,3.5,0.67,10,Virginia Polytechnic Institute and State University
441,109,155,170,4,0.79,100,Virginia Polytechnic Institute and State University
442,114,157,166,4,0.927,10,Virginia Polytechnic Institute and State University
443,114,156,170,4.5,0.8865,100,Virginia Polytechnic Institute and State University
444,105,150,163,3.5,0.8388,100,Virginia Polytechnic Institute and State University
446,113,164,170,3.5,0.773,10,Virginia Polytechnic Institute and State University
447,110,161,170,4,0.899,10,Virginia Polytechnic Institute and State University
448,114,164,170,4,0.868,10,Virginia Polytechnic Institute and State University
449,112,159,170,3,0.74,100,Virginia Polytechnic Institute and State University
451,110,150,167,3.5,0.083,100,Virginia Polytechnic Institute and State University
452,113,160,163,4.5,0.72,100,Virginia Polytechnic Institute and State University
453,95,142,130,3.5,0.869,10,Virginia Polytechnic Institute and State University
455,112,155,170,5,0.922,10,Virginia Polytechnic Institute and State University
456,116,157,163,3.5,0.7714,10,Virginia Polytechnic Institute and State University
458,107,158,170,3.5,0,0,Virginia Polytechnic Institute and State University
459,117,160,166,3.5,0.8472,100,Virginia Polytechnic Institute and State University
460,113,158,166,4.5,0.803,10,Virginia Polytechnic Institute and State University
461,104,155,165,3.5,0.71,100,Virginia Polytechnic Institute and State University
462,105,130,170,3.5,0.68,100,Virginia Polytechnic Institute and State University
463,112,166,170,4,0.75,10,Virginia Polytechnic Institute and State University
464,105,130,170,3,0.843,10,Virginia Polytechnic Institute and State University
465,108,155,166,4,0.896,10,Virginia Polytechnic Institute and State University
467,116,168,170,4.5,0.97,10,Virginia Polytechnic Institute and State University
468,112,154,168,4,0.92,10,Virginia Polytechnic Institute and State University
469,109,162,165,3,0.711,10,Virginia Polytechnic Institute and State University
471,108,149,157,4,0.795,100,Virginia Polytechnic Institute and State University
472,107,151,161,4,0.935,10,Virginia Polytechnic Institute and State University
473,97,155,170,3.5,0.94,10,Virginia Polytechnic Institute and State University
474,103,164,130,3,0.903,10,Virginia Polytechnic Institute and State University
475,98,159,130,3,0.72,10,Virginia Polytechnic Institute and State University
477,119,130,170,4,0.87,10,Virginia Polytechnic Institute and State University
478,117,170,159,3.5,0.956,10,Virginia Polytechnic Institute and State University
479,110,155,170,3.5,0.926,10,Virginia Polytechnic Institute and State University
480,115,163,170,4,0.6515,100,Virginia Polytechnic Institute and State University
485,114,162,165,5,0.757,10,Virginia Polytechnic Institute and State University
486,105,147,170,3.5,0.77,10,Virginia Polytechnic Institute and State University
487,111,163,167,4,0.083,100,Virginia Polytechnic Institute and State University
488,113,158,170,3.5,0.83,10,Virginia Polytechnic Institute and State University
489,116,163,167,5.5,0.881,10,Virginia Polytechnic Institute and State University
490,100,130,130,3.5,0.847,10,Virginia Polytechnic Institute and State University
491,115,156,170,3.5,0.768,10,Virginia Polytechnic Institute and State University
492,115,156,170,4.5,0.887,10,Virginia Polytechnic Institute and State University
493,105,155,168,3.5,0.888,10,Virginia Polytechnic Institute and State University
494,112,152,157,3.5,0.93,10,Virginia Polytechnic Institute and State University
495,117,165,170,6,0.74,100,Virginia Polytechnic Institute and State University
497,109,157,168,3,0.895,10,Virginia Polytechnic Institute and State University
498,116,162,170,4.5,0.88,10,Virginia Polytechnic Institute and State University
499,114,166,161,4,0.806,10,Virginia Polytechnic Institute and State University
500,110,163,170,3.5,0.73,10,Virginia Polytechnic Institute and State University
501,115,130,170,3,0.835,10,Virginia Polytechnic Institute and State University
504,108,161,165,3.5,0.899,10,Virginia Polytechnic Institute and State University
505,107,155,161,4,0.77,100,Virginia Polytechnic Institute and State University
507,112,154,170,4,0.77,100,Virginia Polytechnic Institute and State University
508,112,162,170,4,0.907,10,Virginia Polytechnic Institute and State University
510,109,161,169,4,0.941,10,Virginia Polytechnic Institute and State University
512,112,165,170,4,0.677,10,Virginia Polytechnic Institute and State University
513,107,148,167,3.5,0.886,10,Virginia Polytechnic Institute and State University
514,108,158,170,3.5,0.716,10,Virginia Polytechnic Institute and State University
515,116,162,170,4,0.074,100,Virginia Polytechnic Institute and State University
516,113,162,168,4,0.72,100,Virginia Polytechnic Institute and State University
517,109,154,160,3.5,0.7704,10,Virginia Polytechnic Institute and State University
518,109,151,170,3,0.887,10,Virginia Polytechnic Institute and State University
519,95,130,170,3.5,0.85,10,Virginia Polytechnic Institute and State University
520,105,155,165,4,0.823,10,Virginia Polytechnic Institute and State University
522,107,154,165,3.5,0.65,100,Virginia Polytechnic Institute and State University
523,107,148,161,3,0.894,10,Virginia Polytechnic Institute and State University
524,106,152,158,3.5,0.58,100,Virginia Polytechnic Institute and State University
526,97,157,170,3.5,0.874,10,Virginia Polytechnic Institute and State University
528,91,155,130,3,0.811,10,Virginia Polytechnic Institute and State University
529,113,157,167,5,0.865,10,Virginia Polytechnic Institute and State University
530,103,148,163,4,0.65,100,Virginia Polytechnic Institute and State University
531,95,148,162,3.5,0.75,100,Virginia Polytechnic Institute and State University
532,104,167,170,3.5,0.81,100,Virginia Polytechnic Institute and State University
533,104,149,159,3,0.91,10,Virginia Polytechnic Institute and State University
534,113,153,162,4,0.84,10,Virginia Polytechnic Institute and State University
535,104,158,130,3,0.747,100,Virginia Polytechnic Institute and State University
536,101,130,130,3.5,0.72,100,Virginia Polytechnic Institute and State University
538,111,151,170,4.5,0.695,100,Virginia Polytechnic Institute and State University
539,111,164,170,3,0.8,100,Virginia Polytechnic Institute and State University
540,111,152,158,3,0.925,10,Virginia Polytechnic Institute and State University
541,105,165,166,4,0.76,10,Virginia Polytechnic Institute and State University
542,106,152,164,3.5,0.928,100,Virginia Polytechnic Institute and State University
543,105,164,170,3.5,0.94,10,Virginia Polytechnic Institute and State University
544,93,130,169,3.5,0.7008,100,Virginia Polytechnic Institute and State University
545,108,163,130,3,0.77,100,Virginia Polytechnic Institute and State University
546,114,163,165,5,0.838,10,Virginia Polytechnic Institute and State University
547,104,158,168,3,0.855,10,Virginia Polytechnic Institute and State University
548,98,141,167,3,0.85,10,Virginia Polytechnic Institute and State University
549,111,166,170,3.5,0.9255,10,Virginia Polytechnic Institute and State University
550,111,157,170,3,0.755,10,Virginia Polytechnic Institute and State University
551,110,154,164,3,0.817,10,Virginia Polytechnic Institute and State University
552,108,159,163,3,0.859,10,Virginia Polytechnic Institute and State University
554,114,159,169,4.5,0.899,10,Virginia Polytechnic Institute and State University
556,113,163,170,4.5,0.81,10,Virginia Polytechnic Institute and State University
557,4,157,130,4,0.861,10,Virginia Polytechnic Institute and State University
558,105,166,170,4,0.8519,100,Virginia Polytechnic Institute and State University
560,105,154,170,3,0.68,100,Virginia Polytechnic Institute and State University
561,109,160,159,3.5,0.805,100,Virginia Polytechnic Institute and State University
562,101,155,169,4,0.948,10,Virginia Polytechnic Institute and State University
563,107,130,170,3,0.806,100,Virginia Polytechnic Institute and State University
565,98,152,163,4,0.878,10,Virginia Polytechnic Institute and State University
568,100,150,166,4,0.7905,100,Virginia Polytechnic Institute and State University
569,93,165,170,3,0.72,100,Virginia Polytechnic Institute and State University
570,89,148,157,3,0.8,10,Virginia Polytechnic Institute and State University
571,92,170,150,3.5,0,0,Virginia Polytechnic Institute and State University
573,117,163,170,4,0.7,10,Virginia Polytechnic Institute and State University
574,106,130,130,3.5,0.68,100,Virginia Polytechnic Institute and State University
575,114,162,170,3.5,0.805,10,Virginia Polytechnic Institute and State University
576,118,164,169,4.5,0.889,10,Virginia Polytechnic Institute and State University
577,117,158,170,4.5,0.986,10,Virginia Polytechnic Institute and State University
578,99,165,130,3.5,0.8175,4,Virginia Polytechnic Institute and State University
579,109,157,160,3.5,0.82,100,Virginia Polytechnic Institute and State University
580,105,155,164,3.5,0.857,10,Virginia Polytechnic Institute and State University
581,105,158,170,4,0.966,10,Virginia Polytechnic Institute and State University
582,114,156,165,3,0.928,10,Virginia Polytechnic Institute and State University
583,118,165,170,4.5,0.601,100,Virginia Polytechnic Institute and State University
584,111,158,130,4,0.81,10,Virginia Polytechnic Institute and State University
585,116,162,167,4.5,0.76,100,Virginia Polytechnic Institute and State University
586,114,161,169,4,0.7,100,Virginia Polytechnic Institute and State University
587,104,154,170,4,0.908,10,Virginia Polytechnic Institute and State University
588,115,130,170,4,0.73,10,Virginia Polytechnic Institute and State University
589,105,161,170,3.5,0.847,10,Virginia Polytechnic Institute and State University
590,114,165,170,5,0.985,10,Virginia Polytechnic Institute and State University
591,111,152,167,3,0.68,100,Virginia Polytechnic Institute and State University
592,115,164,170,4.5,0.943,10,Virginia Polytechnic Institute and State University
593,107,161,166,4.5,0.922,10,Virginia Polytechnic Institute and State University
595,104,153,170,3.5,0.74,100,Virginia Polytechnic Institute and State University
596,117,161,159,4,0.843,10,Virginia Polytechnic Institute and State University
597,105,155,163,3.5,0.812,10,Virginia Polytechnic Institute and State University
598,95,148,155,3,0.871,10,Virginia Polytechnic Institute and State University
599,108,153,170,5,0.7,100,Virginia Polytechnic Institute and State University
600,105,162,168,5,0.922,10,Virginia Polytechnic Institute and State University
601,115,156,170,4,0.961,10,Virginia Polytechnic Institute and State University
602,113,160,170,3,0.85,10,Virginia Polytechnic Institute and State University
603,118,160,161,5,0.92,10,Virginia Polytechnic Institute and State University
604,97,148,168,3.5,0.881,10,Virginia Polytechnic Institute and State University
605,113,161,170,4,0.7936,100,Virginia Polytechnic Institute and State University
606,110,165,166,3.5,0.74,10,Virginia Polytechnic Institute and State University
607,119,169,166,4.5,0.85,10,Virginia Polytechnic Institute and State University
608,115,130,170,4,0.83,100,Virginia Polytechnic Institute and State University
609,115,165,170,5,0.67,10,Virginia Polytechnic Institute and State University
610,116,168,170,4.5,0.791,100,Virginia Polytechnic Institute and State University
611,108,130,170,4.5,0.68,100,Virginia Polytechnic Institute and State University
612,114,130,170,3.5,0.964,10,Virginia Polytechnic Institute and State University
613,107,153,170,3.5,0.73,100,Virginia Polytechnic Institute and State University
614,104,151,170,3,0.832,10,Virginia Polytechnic Institute and State University
615,114,163,168,4,0.804,10,Virginia Polytechnic Institute and State University
616,113,158,170,4,0.855,10,Virginia Polytechnic Institute and State University
617,103,163,170,3,0.733,100,Virginia Polytechnic Institute and State University
618,107,150,169,4,0.75,10,Virginia Polytechnic Institute and State University
619,109,158,130,4.5,0,0,Virginia Polytechnic Institute and State University
620,105,152,163,3.5,0.87,10,Virginia Polytechnic Institute and State University
621,115,150,162,3.5,0.95,10,Virginia Polytechnic Institute and State University
623,111,152,164,4,0.8539,10,Virginia Polytechnic Institute and State University
624,108,158,170,3.5,0.767,10,Virginia Polytechnic Institute and State University
625,110,154,170,3.5,0.795,10,Virginia Polytechnic Institute and State University
626,107,155,167,4,0.936,10,Virginia Polytechnic Institute and State University
627,112,156,165,4,0.921,10,Virginia Polytechnic Institute and State University
628,106,157,165,3.5,0.8,10,Virginia Polytechnic Institute and State University
629,109,154,130,3,0.72,10,Virginia Polytechnic Institute and State University
631,102,160,170,5,0.73,100,Virginia Polytechnic Institute and State University
632,114,161,170,3.5,0.901,10,Virginia Polytechnic Institute and State University
634,113,164,170,4,0.864,10,Virginia Polytechnic Institute and State University
635,99,130,169,3,0.8,100,Virginia Polytechnic Institute and State University
636,116,160,164,4,0.893,10,Virginia Polytechnic Institute and State University
637,93,145,158,3.5,0.834,10,Virginia Polytechnic Institute and State University
638,108,156,170,3,0.862,10,Virginia Polytechnic Institute and State University
1319,113,159,170,4,0.77,10,University of Wisconsin Madison
1320,115,130,130,4.5,0.86,10,University of Wisconsin Madison
1321,98,165,130,3.5,0.877,10,University of Wisconsin Madison
1324,113,130,170,4.5,0.7345,100,University of Wisconsin Madison
1325,111,158,170,4.5,0.912,10,University of Wisconsin Madison
1326,117,160,170,5.5,0.957,10,University of Wisconsin Madison
1327,108,149,170,4.5,0.978,10,University of Wisconsin Madison
1328,111,154,161,3.5,0.878,10,University of Wisconsin Madison
1330,106,157,165,4,0.805,10,University of Wisconsin Madison
1331,118,160,168,4,0.949,10,University of Wisconsin Madison
1332,110,166,170,3.5,0.837,10,University of Wisconsin Madison
1333,111,164,170,4,0.97,10,University of Wisconsin Madison
